id,match_id,team,team_side,event,player_id,player_name,position,match_time_minute,half_period,video_timestamp,duration,in_possession,origin_x,origin_y,is_opponent_half,origin_third,outcome,type,pass_type,receiver_name,pass_end_x,pass_end_y,pass_end_third,pass_direction,is_key_pass,shot_type,is_outside_the_box,blocker_name,keeper_name,duel_type,defender_name,player_out,player_out_position,player_in,player_in_position,created_at
evt_0525,match_19_sbu_vs_2wfc,San Beda University,right,Pass,14,Jaro Libarnes,CB,3477,2,4608.615971,2.0,true,29.77,57.38,true,middle third,Successful,Short,Short,,37.27,64.51,middle third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:22:40+02:00
evt_0526,match_19_sbu_vs_2wfc,San Beda University,right,Pass,19,Kirvy Tabelin,CAM,3480,2,4611.442744,3.0,true,41.02,65.26,true,middle third,Successful,Short,Short,,41.77,48.76,middle third,Lateral Pass,False,,true,,,,,,,,,2025-10-25T06:22:53+02:00
evt_0527,match_19_sbu_vs_2wfc,San Beda University,right,Pass,42,Harvy Barro,CDM,3484,2,4616.050544,4.0,true,45.52,39.76,true,middle third,Successful,Short,Short,,34.52,22.5,middle third,Forward Pass,False,,true,,,,,,,,,2025-10-25T06:23:07+02:00
evt_0528,match_19_sbu_vs_2wfc,San Beda University,right,Pass,41,Diegocarl Digal,CB,3487,2,4618.384297,3.0,true,32.77,19.5,true,middle third,Successful,Short,Short,,41.77,32.63,middle third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:23:17+02:00
evt_0529,match_19_sbu_vs_2wfc,San Beda University,right,Pass,42,Harvy Barro,CDM,3488,2,4619.93824,1.0,true,44.52,33.01,true,middle third,Successful,Short,Short,,57.52,21.38,middle third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:23:36+02:00
evt_0530,match_19_sbu_vs_2wfc,San Beda University,right,Pass,20,Laurence Fernandez,LWB,3493,2,4624.960325,5.0,true,60.27,24.38,false,defensive third,Successful,Short,Short,,56.27,37.13,middle third,Forward Pass,False,,true,,,,,,,,,2025-10-25T06:24:05+02:00
evt_0531,match_19_sbu_vs_2wfc,San Beda University,right,Dribble,19,Kirvy Tabelin,CAM,3501,2,4632.280569,8.0,true,65.52,37.88,false,defensive third,Successful,,,,,,,,,,true,,,,,,,,,2025-10-25T06:24:22+02:00
evt_0532,match_19_sbu_vs_2wfc,San Beda University,right,Shot,19,Kirvy Tabelin,CAM,3501,2,4632.280569,0.0,true,73.77,31.88,false,defensive third,Blocked,Right Foot,,,,,,,,,true,,,,,,,,,2025-10-25T06:24:31+02:00
evt_0533,match_19_sbu_vs_2wfc,San Beda University,right,Recovery,19,Kirvy Tabelin,CAM,3503,2,4634.841995,2.0,false,67.77,19.5,false,defensive third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:24:39+02:00
evt_0534,match_19_sbu_vs_2wfc,San Beda University,right,Pass,19,Kirvy Tabelin,CAM,3508,2,4639.610052,5.0,true,79.77,14.25,false,defensive third,Unsuccessful,Cross,Cross,,82.02,27,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:24:59+02:00
