id,match_id,team,team_side,event,player_id,player_name,position,match_time_minute,half_period,video_timestamp,duration,in_possession,origin_x,origin_y,is_opponent_half,origin_third,outcome,type,pass_type,receiver_name,pass_end_x,pass_end_y,pass_end_third,pass_direction,is_key_pass,shot_type,is_outside_the_box,blocker_name,keeper_name,duel_type,defender_name,player_out,player_out_position,player_in,player_in_position,created_at
evt_0204,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,51,Unnamed,,1008,1,1265.871641,1.0,true,23.94,66.39,false,defensive third,Successful,Short,Short,Unnamed,37.94,61.51,defensive third,Forward Pass,False,,true,,,,,,,,,2025-11-06T09:24:32+00:00
evt_0205,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,57,Unnamed,,1014,1,1271.636715,6.0,true,53.69,58.88,true,middle third,Unsuccessful,Through Ball,Through Ball,,71.69,96.39,middle third,Forward Pass,False,,true,,,,,,,,,2025-11-06T09:24:54+00:00
evt_0206,match_17_sbu_vs_sin,San Beda University,right,Throw In,41,"Digal, Diegocarl",CB,1024,1,1282.083896,10.0,false,,,,,,,,,,,,,,,,,,,,,,,,2025-11-06T09:25:13+00:00
evt_0207,match_17_sbu_vs_sin,San Beda University,right,Dribble,18,"Pineda, Jaryl",CAM,1027,1,1284.980162,3.0,true,73.44,78.76,false,defensive third,Successful,,,,,,,,,,true,,,,,,,,,2025-11-06T09:45:10+00:00
evt_0208,match_17_sbu_vs_sin,San Beda University,right,Pass,18,"Pineda, Jaryl",CAM,1029,1,1286.940741,2.0,true,73.44,73.89,false,defensive third,Successful,Short,Short,"Fernandez, Laurence",85.44,79.14,defensive third,Back Pass,False,,true,,,,,,,,,2025-11-06T09:45:26+00:00
evt_0209,match_17_sbu_vs_sin,San Beda University,right,Pass,20,"Fernandez, Laurence",RW,1031,1,1288.69425,2.0,true,83.44,59.63,false,defensive third,Successful,Short,Short,"Aningalan, Jul",85.69,38.63,defensive third,Back Pass,False,,true,,,,,,,,,2025-11-06T09:45:43+00:00
evt_0210,match_17_sbu_vs_sin,San Beda University,right,Pass,15,"Aningalan, Jul",CB,1034,1,1292.105054,3.0,true,79.94,31.88,false,defensive third,Successful,Short,Short,"Libarnes, Jaro",59.19,6.38,middle third,Forward Pass,False,,true,,,,,,,,,2025-11-06T09:46:12+00:00
evt_0211,match_17_sbu_vs_sin,San Beda University,right,Dribble,14,"Libarnes, Jaro",CB,1037,1,1294.7272,3.0,true,56.19,7.13,false,middle third,Successful,,,,,,,,,,true,,,,,,,,,2025-11-06T09:46:24+00:00
evt_0212,match_17_sbu_vs_sin,San Beda University,right,Pass,14,"Libarnes, Jaro",CB,1044,1,1301.695671,7.0,true,46.44,7.88,true,middle third,Successful,Through Ball,Through Ball,"Omitade, Edvard",18.94,82.89,attacking third,Forward Pass,False,,true,,,,,,,,,2025-11-06T09:46:45+00:00
evt_0213,match_17_sbu_vs_sin,San Beda University,right,Pass,43,"Omitade, Edvard",LW,1049,1,1306.372425,5.0,true,11.69,80.64,true,attacking third,Successful,Short,Short,"Pineda, Jaryl",20.44,55.13,attacking third,Back Pass,False,,true,,,,,,,,,2025-11-06T09:47:09+00:00
