match_id,season,match_date,competition,venue,match_name,my_team_name,opponent_team_name,my_team_goals,opponent_team_goals,my_team_result,opponent_team_result,status,my_possession_pct,my_passes,my_goals,my_shots,my_shots_on_target,my_shots_on_target_pct,my_passing_accuracy_pct,my_overall_rating,my_match_rating_attack,my_match_rating_defense,my_duels_won,my_duels,opp_possession_pct,opp_passes,opp_goals,opp_shots,opp_shots_on_target,opp_passing_accuracy_pct,opp_overall_rating,opp_match_rating_attack,opp_match_rating_defense,opp_duels_won,opp_duels
17,2025/2026,2025-10-26,"Ang Liga","Ayala Vermosa Sports Hub","San Beda University vs Siniloan Blues","San Beda University","Siniloan Blues",3,1,Win,Lose,Completed,58.89,289,3,13,7,53.8,80.62,6.97,8,6.09,21,24,41.11,177,1,3,0,72.32,6.39,5.11,7.06,20,20
18,2025/2026,2025-10-12,"Ang Liga","Ayala Vermosa Sports Hub","San Beda University vs Kaya FC - Iloilo","San Beda University","Kaya FC - Iloilo",1,2,Lose,Win,Completed,54.804,363,1,14,2,14.3,85.95,6.84,6.34,6.28,17,19,45.196,204,2,12,2,73.53,6.71,6.68,6.76,4,5
16,2025/2026,2025-10-12,"Ang Liga","Ayala Vermosa Sports Hub","San Beda University vs University of the Philippines","San Beda University","University of the Philippines",0,2,Lose,Win,Completed,54.693,244,0,5,1,20,82.79,6.61,5.55,6.51,38,44,45.307,242,2,12,3,81.82,6.88,8,6.49,20,22
19,2025/2026,2025-10-11,"Ang Liga","Ayala Vermosa Sports Hub","San Beda University vs 2 Worlds FC","San Beda University","2 Worlds FC",4,4,Draw,Draw,Ready,52.027,272,4,18,7,38.9,83.46,6.65,6.43,6.21,16,31,47.973,206,4,17,9,71.36,6.67,6.57,6.86,10,16
