match_id,season,match_date,competition,venue,match_name,my_team_name,opponent_team_name,my_team_goals,opponent_team_goals,my_team_result,opponent_team_result,status,my_possession_pct,my_passes,my_goals,my_shots,my_shots_on_target,my_shots_on_target_pct,my_passing_accuracy_pct,my_overall_rating,my_match_rating_attack,my_match_rating_defense,my_duels_won,my_duels,my_interceptions,my_tackles,my_clearances,opp_possession_pct,opp_passes,opp_goals,opp_shots,opp_shots_on_target,opp_passing_accuracy_pct,opp_overall_rating,opp_match_rating_attack,opp_match_rating_defense,opp_duels_won,opp_duels,opp_interceptions,opp_tackles,opp_clearances
17,2025/2026,2025-10-26,"Ang Liga","Ayala Vermosa Sports Hub","San Beda University vs Siniloan Blues","San Beda University","Siniloan Blues",3,1,Win,Lose,Completed,58.88999938964844,289,3,13,7,53.8,80.62000274658203,7,8,6.1,21,24,27,6,11,41.11000061035156,177,1,3,0,72.31999969482422,6.4,5.1,7.1,20,20,12,4,20
18,2025/2026,2025-10-12,"Ang Liga","Ayala Vermosa Sports Hub","San Beda University vs Kaya FC - Iloilo","San Beda University","Kaya FC - Iloilo",1,2,Lose,Win,Completed,54.80400085449219,363,1,14,2,14.3,85.94999694824219,6.8,6.3,6.3,17,19,51,5,11,45.19599914550781,204,2,12,2,73.52999877929688,6.7,6.7,6.8,4,5,57,1,18
16,2025/2026,2025-10-12,"Ang Liga","Ayala Vermosa Sports Hub","San Beda University vs University of the Philippines","San Beda University","University of the Philippines",0,2,Lose,Win,Completed,54.69300079345703,244,0,5,1,20,82.79000091552734,6.6,5.6,6.5,38,44,61,4,18,45.30699920654297,242,2,12,3,81.81999969482422,6.9,8,6.5,20,22,83,4,19
19,2025/2026,2025-10-11,"Ang Liga","Ayala Vermosa Sports Hub","San Beda University vs 2 Worlds FC","San Beda University","2 Worlds FC",4,4,Draw,Draw,Ready,52.027000427246094,272,4,18,7,38.9,83.45999908447266,6.7,6.4,6.2,16,31,3,7,5,47.972999572753906,206,4,17,9,71.36000061035156,6.7,6.6,6.9,10,16,2,5,6
