match_id,season,match_date,competition,venue,match_name,my_team_name,opponent_team_name,my_team_goals,opponent_team_goals,match_result,my_possession_pct,my_passes,my_goals,my_shots,my_shots_on_target,my_shots_on_target_pct,my_passing_accuracy_pct,my_overall_rating,my_match_rating_attack,my_match_rating_defense,my_duels_won,my_duels,my_interceptions,my_tackles,my_clearances,opp_possession_pct,opp_passes,opp_goals,opp_shots,opp_shots_on_target,opp_passing_accuracy_pct,opp_overall_rating,opp_match_rating_attack,opp_match_rating_defense,opp_duels_won,opp_duels,opp_interceptions,opp_tackles,opp_clearances
18,2025/2026,2025-10-26,"Ang Liga","Ayala Vermosa Sports Hub","San Beda University vs Kaya FC - Iloilo","San Beda University","Kaya FC - Iloilo",1,2,Lose,54.804,363,1,14,2,14.3,85.95,6.8,6.3,6.3,17,19,51,5,11,45.196,204,2,12,2,73.53,6.7,6.7,6.8,4,5,57,1,18
16,2025/2026,2025-10-26,"Ang Liga","Ayala Vermosa Sports Hub","San Beda University vs University of the Philippines","San Beda University","University of the Philippines",0,2,Lose,54.693,244,0,5,1,20,82.79,6.6,5.6,6.5,38,44,61,4,18,45.307,242,2,12,3,81.82,6.9,8,6.5,20,22,83,4,19
17,2025/2026,2025-10-19,"Ang Liga","Ayala Vermosa Sports Hub","San Beda University vs Siniloan Blues","San Beda University","Siniloan Blues",3,1,Win,58.89,289,3,13,7,53.8,80.62,7,8,6.1,21,24,27,6,11,41.11,177,1,3,0,72.32,6.4,5.1,7.1,20,20,12,4,20
19,2025/2026,2025-10-12,"Ang Liga","Ayala Vermosa Sports Hub","San Beda University vs 2 Worlds FC","San Beda University","2 Worlds FC",4,4,Draw,52.027,272,4,18,7,38.9,83.46,6.7,6.4,6.2,16,31,3,7,5,47.973,206,4,17,9,71.36,6.7,6.6,6.9,10,16,2,5,6
